UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
6	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	24
54	0
32	0
51	0
4	0
305	81
156	0
0	0
0	0
25	16
0	3
0	0
11	0
5	0
1	0
0	35
59	0
0	1019
0	211
528	44
0	0
0	0
0	16
2	30
549	1289
0	108
88	1230
0	34
157	0
0	4
0	135
0	78
0	102
8	0
558	1
256	0
244	0
37	139
84	17
0	0
54	71
19	1
91	4
3045	15
3984	10
58	10
0	24
0	0
0	81
0	19
1	43
21	0
0	30
0	48
0	1795
2	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	2
0	13
0	0
0	0
0	492
73	46
0	1116
151	72
0	1063
0	0
0	0
0	0
1	0
8	0
0	0
2	0
8	0
305	374
2	628
15	0
0	68
0	311
0	0
0	0
0	0
6	0
3	0
0	0
0	14
0	88
17	0
10	23
6	1
3	16
31	19
0	8
0	959
0	11
2	0
0	0
0	14
0	0
0	0
0	0
0	48
0	2023
0	35
1795	64
2	78
2	139
2368	5
0	4
0	1
42	30
3	17
5	6
0	7
0	0
1	0
0	0
0	0
9	44
0	0
0	0
0	0
0	0
1	0
2	0
0	0
0	0
1	0
0	0
2	0
0	0
0	0
0	0
0	0
27	0
0	3
3	0
0	0
17	12
0	0
1	0
0	9
0	1
0	168
10	0
45	0
0	100
0	0
303	492
0	24
0	0
32	179
142	0
115	0
1	0
7	49
4	0
0	221
0	0
1	0
0	0
0	0
0	0
0	0
0	2
0	97
27	309
3	0
14	0
0	0
2	0
0	0
1	0
2	0
21	0
3	0
415	10
110	0
0	0
3	0
1	0
8	0
0	0
152	0
5	0
0	0
5	0
27	92
0	0
0	886
5	179
1	0
0	9
0	169
0	48
0	0
14	0
90	34
0	41
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
3	0
0	0
0	115
2	0
2	0
0	135
0	218
0	180
0	97
2369	1025
0	0
0	0
0	0
5	0
0	0
195	196
0	0
2	0
0	12
1	0
8	0
0	0
345	308
0	0
697	0
0	0
12	0
6	0
1	0
0	0
3	0
11	0
146	0
0	3
0	535
14	160
0	0
114	15
674	1140
9	1118
68	43
0	0
0	0
0	0
0	0
0	0
3	92
609	909
0	0
70	0
155	0
0	0
0	0
0	0
0	23
25	102
70	1042
0	0
0	188
282	1196
1115	319
31	114
5	3
0	0
0	0
1	0
4766	203
0	0
0	0
160	119
28	122
1	37
0	14
0	0
1	5
3	22
0	0
0	0
0	0
0	0
1	0
36	99
12	4
3	0
1	20
5	1162
633	221
0	3
0	0
0	0
