gene_id	Tamaulipas-pistils-0hr-25C-R1_	Tamaulipas-pistils-0hr-25C-R2_	Tamaulipas-pistils-3hr-25C-R1_	Tamaulipas-pistils-3hr-25C-R2_	Tamaulipas-pistils-3hr-37C-R1_	Tamaulipas-pistils-3hr-37C-R2_	Tamaulipas-pistils-8hr-25C-R1_	Tamaulipas-pistils-8hr-25C-R2_	Tamaulipas-pistils-8hr-37C-R1_	Tamaulipas-pistils-8hr-37C-R2_
Solyc04g050170.4.1	0.452992	0.414963	0.477000	0.667714	0.778803	1.534584	1.166928	1.037033	2.153017	1.572268
Solyc04g050175.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050180.3.1	4.114181	4.597982	4.169254	5.086777	9.537115	10.474061	6.631320	6.951461	16.987913	13.187108
Solyc04g050190.4.1	6.787955	7.909837	8.029673	7.957512	10.063713	8.656278	7.629358	8.881690	12.230745	10.327926
Solyc04g050200.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050205.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050210.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050220.2.1	0.000000	0.000000	0.000000	0.995191	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g150132.1.1	4.705479	7.350700	4.302194	9.380419	8.633452	6.282222	7.671904	11.367301	7.286620	7.008887
Solyc04g050240.3.1	19.953530	26.369637	24.815600	25.964999	28.635030	24.690766	25.253865	24.060959	29.557161	23.709123
Solyc04g150133.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050250.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050260.1.1	0.043555	0.123970	0.175250	0.935297	0.144797	0.052873	0.086075	0.499082	0.279093	0.108521
Solyc04g050270.1.1	13.202126	16.979137	13.176638	19.198125	30.814506	44.476420	15.966657	22.900299	32.756773	47.398642
Solyc04g050300.1.1	0.000000	0.071049	0.000000	0.000000	0.000000	0.095059	0.070742	0.077996	0.000000	0.162766
Solyc04g150134.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050310.3.1	3.337995	7.068538	7.189826	8.024360	14.377545	21.603313	6.903294	8.217133	21.472924	18.150983
Solyc04g050320.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050330.3.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050340.3.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g150135.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.185271	0.000000	0.000000
Solyc04g050360.2.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050365.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050370.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050380.3.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.139047
Solyc04g050390.3.1	0.000000	0.118440	0.000000	0.000000	0.104515	0.000000	0.000000	0.000000	0.000000	0.136816
Solyc04g050400.1.1	0.150520	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050403.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050407.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050430.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050440.3.1	36.383399	41.603713	29.663474	44.119911	14.289735	9.423553	22.152375	12.384000	17.833526	9.086477
Solyc04g050445.1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Solyc04g050470.4.1	15.525220	18.352617	15.723218	16.802814	29.498486	30.392553	18.210225	19.694338	32.924692	33.634650
Solyc04g050480.4.1	10.076819	12.494808	7.752684	10.602237	9.489608	9.378451	8.431345	11.289467	11.542534	10.990724
Solyc04g050490.4.1	68.523340	49.227869	32.853463	27.568913	27.070440	19.547477	30.149981	26.253533	21.751082	17.192373
