UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	18
23	0
19	0
21	1
6	0
231	44
71	0
1	0
0	0
4	6
0	0
0	0
1	0
6	0
4	0
0	17
38	0
0	356
0	38
310	17
0	0
0	0
0	9
1	13
402	959
0	63
18	394
0	9
161	0
0	6
0	87
0	85
0	31
1	0
319	1
271	0
82	0
9	47
61	21
0	0
72	361
3	0
44	1
2888	9
3683	8
24	6
0	18
0	0
0	44
0	6
3	29
15	0
0	13
0	25
0	1376
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	1
1	11
0	1
0	0
0	69
26	15
0	167
16	7
0	84
0	0
0	0
0	0
0	0
2	0
0	0
0	0
1	0
21	14
0	54
7	0
0	28
0	88
0	0
0	0
0	0
0	0
0	0
0	0
3	1
0	8
5	0
5	4
0	0
1	0
6	18
0	12
0	152
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	25
0	1547
0	17
387	18
11	85
0	47
1236	1
0	1
0	0
264	326
0	21
1	2
0	0
0	0
0	0
0	0
0	0
7	16
0	0
0	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
6	0
0	0
1	0
0	0
3	0
0	0
0	0
3	1
0	0
0	18
5	0
9	0
0	64
0	0
81	69
0	6
0	0
10	45
32	0
18	0
0	0
0	3
3	0
0	18
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	30
12	84
3	0
6	0
0	0
0	0
0	0
1	0
0	0
8	0
0	0
22	0
2	0
0	0
5	0
5	0
1	0
0	0
13	0
3	0
0	0
0	0
9	26
0	0
0	198
6	45
0	0
0	7
0	131
0	25
0	0
11	0
10	21
0	36
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
2	0
2	0
0	0
0	27
0	0
0	0
0	9
0	53
0	45
0	30
228	72
0	0
0	0
0	0
0	0
0	0
8	7
0	0
0	0
0	0
0	0
0	0
0	0
38	23
0	0
140	0
2	0
4	0
4	0
0	0
0	0
0	0
4	0
12	0
0	0
0	24
4	36
0	0
16	2
126	88
0	159
2	1
0	0
0	0
0	0
0	0
0	0
5	26
158	202
0	0
17	0
35	0
2	0
0	0
0	0
0	4
16	9
36	240
0	0
0	7
41	240
355	77
5	49
0	0
0	0
0	0
0	0
82	7
0	0
0	0
36	12
7	22
3	33
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	28
6	6
7	0
0	9
0	45
42	18
0	0
0	0
0	0
0	0
0	0
0	61
