UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
16	0
18	0
15	2
0	0
165	28
32	0
0	0
0	0
4	1
0	1
0	0
5	0
1	0
3	0
0	7
18	0
0	133
0	45
252	29
0	0
0	0
0	3
0	10
110	322
0	29
14	178
0	11
65	0
0	3
0	86
0	100
0	14
0	0
309	0
61	0
53	0
10	25
9	4
0	0
24	54
7	0
42	1
1251	7
3674	4
3	0
0	4
0	0
0	28
0	2
0	11
7	0
0	10
0	25
0	484
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	220
51	27
0	735
55	43
0	303
0	0
0	0
0	0
0	0
4	0
0	0
1	0
3	0
47	46
0	154
10	0
0	46
0	174
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	25
3	0
13	5
1	0
0	1
29	33
0	8
0	646
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	25
0	550
0	7
420	20
0	100
0	25
877	3
0	1
0	0
61	43
0	4
0	0
0	4
0	0
0	0
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
31	0
0	0
0	0
1	0
15	8
0	0
2	0
1	0
0	0
0	102
9	0
5	0
0	73
0	0
100	220
0	9
0	0
24	66
91	0
84	0
0	0
1	6
1	0
0	107
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	75
30	171
7	0
9	0
0	0
8	0
0	0
5	0
0	0
13	0
3	0
195	7
37	1
0	0
1	0
3	0
0	0
1	0
50	0
12	0
0	0
0	2
30	94
0	0
0	885
1	66
0	0
0	2
0	69
0	25
0	0
2	0
6	8
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
2	0
0	0
2	0
0	95
0	0
0	0
0	41
0	166
1	68
0	74
625	204
0	0
0	0
0	0
1	0
0	0
11	6
0	0
0	0
0	8
0	0
1	0
0	0
64	55
0	0
994	0
2	0
25	0
6	0
0	0
0	0
1	0
5	0
144	0
0	1
0	149
14	135
0	0
65	18
253	336
7	656
0	0
0	0
0	0
0	0
0	0
0	0
5	94
525	889
0	0
49	0
143	0
0	0
0	0
3	0
0	5
6	27
51	589
0	0
0	7
133	415
874	243
19	91
0	0
0	0
0	0
0	0
144	6
0	0
0	0
32	16
24	88
0	10
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	13
1	3
0	0
0	7
0	239
184	107
0	1
0	0
0	0
0	0
0	0
1	273
0	43
