UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
25	0
11	0
26	1
0	0
103	23
38	0
0	0
0	0
7	2
0	0
0	0
4	0
6	0
3	0
0	6
27	0
0	253
0	53
212	16
0	0
1	0
0	6
0	11
80	340
0	45
15	304
0	29
38	0
1	2
0	62
0	34
0	35
1	0
208	0
15	0
57	0
7	25
19	4
0	0
8	21
6	1
15	0
607	12
2886	11
6	2
0	9
0	0
0	23
0	2
0	25
9	0
0	11
0	16
0	485
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	422
35	37
0	903
128	68
0	787
0	0
0	0
0	0
1	0
6	0
0	0
0	0
5	0
124	174
1	328
8	0
0	57
0	218
1	0
0	0
0	0
3	0
0	0
1	0
0	0
0	106
6	0
10	10
4	0
0	11
32	30
0	14
0	780
0	3
0	0
0	0
0	4
0	0
0	0
0	0
0	16
1	584
0	6
604	46
2	34
0	25
967	1
0	0
0	1
13	2
0	4
4	2
0	2
0	0
0	0
0	0
0	0
1	5
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
34	0
0	3
0	0
1	0
21	23
0	0
1	0
0	2
0	1
2	156
0	0
1	0
0	63
0	0
160	422
2	19
0	0
27	119
108	0
120	0
0	0
0	38
4	0
0	184
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	82
21	214
3	0
12	0
0	0
0	0
0	0
2	0
1	0
16	0
2	0
288	10
73	0
0	0
0	0
8	0
0	0
0	0
55	0
6	0
0	0
1	1
34	125
0	0
0	1556
11	119
0	0
0	5
0	102
0	16
1	0
2	0
20	24
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	142
0	0
0	0
0	86
0	233
1	132
0	82
1048	513
0	0
0	0
0	0
1	0
0	0
29	21
0	0
0	0
2	23
3	0
9	0
0	0
92	106
1	0
980	0
2	0
23	0
1	0
0	0
0	0
1	0
3	0
194	0
0	0
0	317
17	210
0	0
171	27
520	827
7	853
9	4
0	0
0	0
0	0
0	0
0	0
9	125
603	1567
0	0
38	0
203	0
0	0
0	0
1	0
0	10
7	106
52	843
0	0
0	15
197	719
940	353
26	109
1	0
0	0
0	0
0	0
320	21
0	0
0	0
52	38
12	151
0	6
0	12
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
12	34
2	2
1	0
3	4
2	637
383	184
0	0
0	0
0	0
0	0
0	0
3	408
4	68
