UniqueCount	AmbigCount
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
16	0
11	0
21	1
1	0
173	28
84	0
0	0
0	0
17	11
0	0
0	1
6	0
1	0
1	0
0	5
31	0
0	353
0	77
301	18
0	0
3	0
0	7
0	9
134	518
0	66
31	430
0	31
106	0
0	8
0	91
0	41
0	29
5	0
281	3
94	0
134	0
16	55
18	6
0	0
9	18
6	1
34	0
993	14
3339	8
14	2
0	10
0	0
0	28
0	11
0	29
2	0
0	9
0	26
0	786
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	63
14	17
0	138
16	11
0	100
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
16	22
0	68
2	0
0	18
0	105
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	17
6	0
1	9
0	0
0	9
2	3
0	13
0	117
0	8
3	0
0	0
0	13
0	0
0	0
0	0
0	26
0	899
0	5
1112	44
1	41
0	55
1447	6
0	0
0	1
17	2
1	6
6	0
0	3
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	1
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
7	1
0	0
1	0
0	0
0	2
0	0
0	0
0	0
0	1
0	27
9	0
19	0
0	26
0	0
75	63
0	3
0	0
4	40
23	0
12	0
0	0
0	1
3	0
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	24
6	103
0	0
1	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
35	0
8	0
0	0
4	0
7	0
0	0
0	0
9	0
0	0
0	0
0	1
16	23
0	0
0	186
3	40
0	0
0	4
0	150
0	26
0	0
4	0
40	24
0	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	38
0	0
0	0
0	16
0	45
0	59
0	24
234	92
0	0
0	0
0	0
0	0
0	0
21	13
0	0
1	0
0	2
0	0
0	1
0	0
21	49
0	0
96	0
0	0
4	0
8	0
0	0
0	0
1	0
2	0
15	0
0	2
0	39
1	52
0	0
13	2
100	103
2	144
21	18
0	0
0	0
0	0
0	0
0	0
0	23
141	188
0	0
11	0
27	0
0	0
0	0
4	0
0	9
8	18
21	260
0	0
0	11
72	278
194	60
13	33
0	0
0	0
1	0
0	0
156	13
0	0
0	0
42	20
1	31
1	14
0	8
0	0
0	2
0	14
0	0
0	0
0	0
0	0
0	0
8	29
13	8
1	0
0	20
2	44
53	20
0	2
0	0
0	0
0	0
0	0
0	66
0	11
