UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
17	0
7	0
32	2
2	0
453	33
60	0
0	0
0	0
4	5
0	0
0	0
5	0
23	0
2	0
0	19
62	0
0	636
0	71
466	24
0	0
0	0
0	14
2	8
361	929
0	87
26	707
0	4
135	0
0	3
0	105
0	60
0	21
0	0
256	0
230	0
49	0
12	22
40	13
0	0
47	165
4	0
41	3
2347	16
4531	13
19	1
0	14
0	0
0	33
0	5
0	34
16	0
0	8
0	31
0	1566
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	3
2	16
0	0
0	0
0	84
32	48
0	219
8	10
0	101
0	0
0	0
0	0
0	0
0	0
0	0
1	0
4	0
26	20
0	71
6	0
0	54
0	183
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	10
11	0
5	6
0	0
0	4
12	4
0	25
0	190
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	31
1	1714
0	19
224	14
4	60
0	22
2570	2
0	3
0	0
142	138
1	13
4	1
0	2
0	0
0	0
0	0
0	0
8	31
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
18	0
0	3
0	0
2	0
1	0
1	0
0	0
1	2
0	0
3	25
13	0
24	0
0	120
0	0
158	84
0	12
0	0
9	29
28	0
29	0
0	0
0	2
2	0
0	23
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	72
11	178
2	0
8	0
0	0
1	0
0	0
4	0
0	0
2	0
1	0
29	4
7	0
0	0
1	0
16	0
0	0
0	0
23	0
8	0
1	0
0	1
4	34
0	0
0	306
2	29
0	0
0	14
0	168
0	31
0	0
7	0
13	33
0	27
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
3	0
1	0
0	0
0	27
0	0
0	0
0	7
0	62
0	99
0	72
236	95
0	0
0	0
0	0
1	0
0	0
11	8
0	0
0	0
0	0
0	0
1	0
0	0
47	60
0	0
183	0
3	0
14	0
6	0
0	0
0	0
0	0
8	0
39	0
0	0
0	49
3	39
0	0
12	3
175	108
5	235
9	5
0	0
0	0
0	0
0	0
0	0
3	34
264	310
0	0
37	0
52	0
2	0
0	0
1	0
0	6
20	11
50	412
0	0
0	7
58	389
328	81
22	95
1	0
0	0
0	0
0	0
91	10
0	0
0	0
53	39
6	24
2	83
0	9
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
17	19
9	3
2	0
1	22
0	47
37	23
0	0
0	0
0	0
0	0
0	0
0	110
