UniqueCount	AmbigCount
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
21	0
27	0
15	2
4	0
261	46
40	0
0	0
0	0
3	0
0	2
0	0
4	0
4	0
1	0
0	26
34	0
0	496
0	116
419	21
0	0
0	0
0	9
1	12
239	1061
0	89
41	609
0	12
104	0
0	0
0	86
0	65
0	17
0	0
162	0
116	0
50	0
2	25
31	5
0	0
26	34
7	1
29	0
1258	19
5849	14
8	0
0	13
0	0
0	46
0	2
0	40
9	0
0	12
0	18
0	1606
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	1
2	2
0	0
0	0
0	117
44	32
0	260
23	6
0	140
0	0
0	0
0	0
0	0
7	0
0	0
0	0
6	0
32	56
0	128
5	0
0	63
0	249
0	0
0	0
0	0
1	0
0	0
1	0
0	4
0	14
2	0
7	4
0	0
0	5
3	10
0	17
1	214
0	3
0	0
0	0
0	3
0	0
0	0
0	0
0	18
0	1848
0	26
252	14
2	65
0	25
2502	5
0	0
0	1
29	10
0	5
2	0
0	3
0	0
0	0
0	0
0	1
6	9
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
15	0
0	2
0	0
0	0
13	0
0	0
5	0
3	4
0	0
0	35
16	0
33	0
0	99
0	0
196	117
0	9
0	0
10	41
25	0
33	0
0	0
0	3
0	0
0	28
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	76
25	245
0	0
5	0
0	0
0	0
0	0
0	0
0	0
10	0
1	0
30	4
6	0
0	0
3	0
12	0
0	0
0	0
16	0
1	0
0	0
6	3
6	16
0	0
0	362
3	41
0	0
0	6
0	208
0	18
0	0
6	0
6	35
0	24
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	1
0	0
3	0
0	54
1	0
0	0
0	8
0	48
1	121
0	76
334	187
0	0
0	0
0	0
1	0
0	0
13	20
0	0
0	0
0	0
3	0
1	0
0	0
101	104
0	0
292	0
4	0
6	0
13	0
1	0
0	0
0	0
0	0
35	0
0	3
0	49
3	70
0	0
13	2
195	146
4	277
6	7
0	0
0	0
0	0
0	0
0	0
5	16
283	365
0	0
41	0
77	0
3	0
0	0
1	0
0	4
16	18
51	491
0	0
0	15
122	441
307	64
24	104
2	0
0	0
0	0
0	0
125	20
0	0
0	0
49	35
2	50
7	21
0	11
0	0
0	1
0	6
0	0
0	0
0	0
0	0
0	0
10	17
8	0
1	0
0	18
0	90
33	28
0	3
0	0
0	0
0	0
1	0
0	125
