UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	42
25	0
22	0
35	1
7	0
278	49
52	0
0	0
0	0
7	3
0	3
0	0
1	0
10	0
2	0
0	85
68	0
0	601
0	77
241	17
0	0
0	0
0	13
1	16
711	1433
0	48
34	678
0	2
110	0
0	3
0	87
0	114
0	25
2	0
344	0
369	0
68	0
7	8
54	22
0	0
64	399
6	0
67	1
3922	17
4192	12
21	0
0	42
0	0
0	49
0	6
2	31
19	0
0	16
0	52
0	2132
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
1	4
1	7
0	0
0	0
0	94
27	16
0	198
10	4
0	82
0	0
0	0
0	0
0	0
1	0
0	0
0	0
5	0
24	30
0	48
3	0
0	43
0	155
0	0
0	0
0	0
3	0
0	0
0	0
0	2
0	16
4	0
2	4
0	0
0	3
5	9
0	4
0	180
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	52
1	2388
0	85
217	2
11	114
0	8
2007	5
0	1
0	0
322	367
1	22
1	0
0	0
0	0
0	0
0	0
0	0
8	72
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
3	0
0	0
8	0
0	1
0	0
2	0
5	5
0	0
0	0
1	1
0	0
0	17
12	0
27	0
0	88
0	0
159	94
4	4
0	0
7	34
31	0
10	0
0	0
0	5
0	0
0	28
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	48
15	151
6	0
9	0
1	0
0	0
0	0
0	0
0	0
4	0
0	0
30	4
4	1
0	0
0	0
7	0
0	0
0	0
12	0
3	0
0	0
0	0
5	23
0	0
0	185
0	34
0	0
0	8
0	161
0	52
0	0
7	0
8	21
0	32
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	36
0	0
0	0
0	6
0	40
0	85
0	48
279	81
0	0
0	0
0	0
3	0
0	0
9	10
0	0
0	0
0	5
3	0
0	0
0	0
58	50
0	0
164	0
0	0
1	0
2	0
0	0
0	0
2	0
4	0
19	0
0	0
0	30
2	42
0	0
17	7
183	86
10	203
2	1
0	0
0	0
0	0
0	0
0	0
3	23
219	188
0	0
24	0
65	0
0	0
0	0
0	0
0	4
18	18
46	292
0	0
0	8
78	280
335	60
28	69
0	0
0	0
0	0
0	0
198	12
0	0
0	0
42	21
10	16
2	73
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	23
11	3
3	0
0	9
2	68
38	28
0	0
0	0
0	0
0	0
0	0
0	71
