UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
79	2
17	0
30	2
7	0
323	43
220	0
0	0
1	0
51	47
0	17
0	8
12	0
16	0
8	0
0	19
55	0
0	527
0	171
740	118
0	0
11	0
0	9
4	52
143	614
0	70
32	692
0	111
185	0
1	15
0	129
0	70
0	80
3	0
1332	8
66	0
330	0
50	152
22	19
0	0
33	53
16	0
37	2
2321	16
5041	10
101	4
0	10
0	0
0	43
0	64
0	36
41	0
5	52
0	74
0	853
1	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
5	9
0	0
0	0
0	860
84	77
0	1481
185	87
0	929
0	0
0	0
0	0
0	0
10	0
0	0
3	0
13	0
175	153
0	536
19	0
0	136
0	387
0	0
1	0
0	0
11	0
1	0
0	0
1	9
0	156
19	0
12	28
9	0
1	15
37	39
0	41
1	1311
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	74
0	991
0	19
3778	201
4	70
0	152
2292	6
0	2
0	0
36	10
1	19
3	4
1	16
0	0
0	0
0	0
0	0
9	19
0	0
0	0
0	0
0	0
0	9
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
54	1
0	2
0	0
1	0
48	22
0	0
5	0
0	0
0	0
4	295
7	0
14	0
0	153
0	0
349	860
5	26
0	0
85	326
204	0
256	0
0	0
2	25
11	0
0	336
0	0
2	0
0	0
0	0
0	0
3	0
0	0
3	188
41	376
4	0
31	0
0	0
7	0
0	0
9	0
0	0
25	0
9	0
501	13
103	0
0	0
2	0
19	0
0	0
3	0
118	0
12	0
0	0
1	1
47	291
0	0
0	2274
2	326
0	0
0	9
0	132
0	74
0	0
39	0
46	35
0	45
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	1
1	0
3	0
0	263
0	0
0	0
0	151
0	309
0	211
0	187
1414	716
0	0
0	0
0	0
1	0
0	0
26	30
0	0
2	0
1	22
0	0
5	1
0	0
357	348
0	0
1681	0
2	0
48	0
4	0
1	0
2	0
1	0
5	0
377	0
0	7
1	610
23	396
1	0
242	31
661	996
9	1427
15	6
0	0
0	0
0	0
0	0
0	0
17	291
1133	2305
0	0
115	0
440	0
1	0
0	0
6	0
0	28
20	165
94	1415
0	0
0	31
342	1329
1392	497
66	229
1	0
0	0
0	0
1	0
462	31
0	0
0	0
131	75
49	310
0	23
0	18
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
40	71
13	15
0	0
1	20
6	714
567	336
0	7
0	0
0	0
0	0
