UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
29	0
19	0
29	0
2	0
181	29
38	0
0	0
0	0
3	4
0	1
0	3
4	0
6	0
4	0
0	10
34	0
0	328
0	45
249	19
0	0
1	0
0	6
0	13
258	879
0	37
18	372
0	14
70	0
1	0
0	92
0	74
0	47
0	1
325	1
82	0
51	0
6	28
37	8
0	0
84	119
1	0
32	1
1964	8
3458	5
17	1
0	5
0	0
0	29
0	5
0	22
13	0
0	13
0	28
0	1159
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	1
0	0
0	368
84	34
0	1005
110	94
0	519
0	0
0	0
0	0
0	0
9	0
0	0
0	0
6	0
60	57
0	142
5	0
0	79
0	195
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	36
3	0
5	6
0	0
0	1
23	43
0	15
0	906
0	1
1	0
0	0
0	1
0	0
0	0
0	0
0	28
1	1363
0	10
518	31
7	74
0	28
1121	3
0	1
0	0
69	68
2	8
1	0
0	2
0	0
0	0
0	0
0	0
8	19
0	0
0	0
0	0
0	0
0	3
0	1
0	0
0	0
0	0
0	0
1	0
0	0
0	0
6	0
0	0
38	0
0	7
4	0
1	0
14	9
1	0
2	0
1	0
0	0
1	170
1	0
9	0
0	100
0	0
145	368
0	9
0	0
30	109
113	0
97	0
1	0
0	11
8	0
0	289
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	127
32	191
6	0
12	0
1	0
3	0
0	0
4	0
0	0
21	0
7	0
265	14
37	0
0	0
3	0
5	0
1	0
1	0
78	0
13	0
0	0
0	0
44	119
0	0
0	1589
2	109
0	0
0	4
0	104
0	28
0	0
6	0
15	20
0	52
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	2
1	0
2	0
0	95
0	0
0	0
0	34
0	166
0	92
0	127
766	208
0	0
0	0
0	0
3	0
0	0
7	7
0	0
1	0
0	9
0	0
0	0
0	0
66	42
1	0
933	0
3	0
21	0
1	0
3	0
0	0
3	0
5	0
196	0
0	0
0	161
27	138
0	0
99	6
444	575
16	922
0	2
0	0
0	0
0	0
0	0
0	0
3	119
941	1599
0	0
39	0
198	0
6	0
0	0
0	0
0	6
8	38
42	758
0	0
0	6
194	572
1084	248
34	153
0	0
0	0
0	0
0	0
115	7
0	0
0	0
30	28
50	89
0	20
0	6
0	0
1	0
0	1
0	0
0	0
0	0
0	0
0	0
15	41
5	0
0	0
1	3
4	590
293	289
0	0
0	0
0	0
0	0
0	0
